ID	AGE	INCOME	GENDER	MARITAL	NUMKIDS	NUMCARDS	HOWPAID	MORTGAGE	STORECAR	LOANS	RISK
100418	34	59508	m	married  	1	1	monthly	y	2	1	good risk 
100657	41	59276	m	married  	1	2	monthly	y	1	1	good risk 
100698	42	58785	f	married  	0	2	monthly	y	1	0	good risk 
100376	33	58505	f	married  	0	2	monthly	y	1	0	good risk 
100796	45	58381	m	married  	1	1	monthly	y	1	0	good risk 
100452	35	57689	m	married  	1	1	monthly	y	2	1	good risk 
100725	43	57598	f	married  	1	1	monthly	y	1	1	good risk 
100766	44	57376	m	married  	0	2	monthly	y	2	1	good risk 
100524	37	57004	f	married  	1	1	monthly	y	2	0	good risk 
100591	39	56523	m	married  	1	1	monthly	y	2	0	good risk 
100326	31	55897	m	married  	1	2	monthly	y	2	0	good risk 
100497	36	55777	f	married  	1	2	monthly	y	2	0	bad loss  
100568	38	55752	m	married  	0	2	monthly	y	2	1	good risk 
100347	36	55554	f	married  	0	1	monthly	y	1	0	good risk 
100494	36	55421	m	married  	0	2	monthly	y	2	0	good risk 
100700	42	55140	m	married  	1	2	monthly	y	1	0	good risk 
100563	38	55112	m	married  	1	2	monthly	y	2	1	good risk 
100672	41	54777	m	married  	1	2	monthly	y	1	1	good risk 
100386	33	54603	f	married  	1	2	monthly	y	1	1	good risk 
100415	34	53791	m	married  	0	1	monthly	y	1	1	good risk 
100390	33	53559	f	married  	1	2	monthly	y	1	0	good risk 
100345	32	53552	f	married  	0	2	monthly	y	1	1	good risk 
100753	44	53550	m	married  	1	1	monthly	y	1	1	bad loss  
100761	44	53102	m	married  	1	1	monthly	y	1	0	good risk 
100626	38	52887	m	married  	0	2	monthly	y	2	0	good risk 
100768	44	52772	m	married  	1	2	monthly	y	2	1	good risk 
100295	30	52725	m	married  	0	2	monthly	y	1	0	good risk 
100526	37	52545	f	married  	1	1	monthly	y	2	0	good risk 
100346	32	52118	m	married  	1	2	monthly	y	1	1	bad profit
100377	33	51945	f	married  	1	1	monthly	y	1	1	good risk 
100767	44	51724	m	married  	1	1	monthly	y	2	1	bad loss  
100697	26	51561	m	married  	0	2	monthly	y	1	0	good risk 
100419	34	51219	m	married  	0	2	monthly	y	2	1	good risk 
100375	33	50808	f	married  	1	2	monthly	y	2	0	bad loss  
100490	36	50799	m	married  	1	2	monthly	y	1	0	good risk 
100664	33	50631	f	married  	0	2	monthly	y	1	0	good risk 
100593	39	50445	m	married  	0	1	monthly	y	2	1	bad loss  
100571	38	50076	m	married  	1	1	monthly	y	1	1	bad profit
100535	37	49988	f	married  	1	2	monthly	y	2	0	good risk 
100799	45	49866	f	married  	0	1	monthly	y	1	0	good risk 
100660	41	49850	m	married  	0	2	monthly	y	1	1	good risk 
100731	43	49789	f	married  	0	2	monthly	y	1	0	good risk 
100344	32	49745	m	married  	0	1	monthly	y	2	1	bad loss  
100373	33	49678	m	married  	0	2	monthly	y	1	0	good risk 
100594	39	49529	f	married  	1	1	monthly	y	2	0	good risk 
100705	42	49485	m	married  	1	1	monthly	y	1	1	good risk 
100423	34	49007	m	married  	1	1	monthly	y	1	0	bad profit
100532	37	48931	m	married  	1	2	monthly	y	2	0	bad loss  
100802	45	48607	f	married  	1	2	monthly	y	2	1	good risk 
100693	42	48414	m	married  	1	2	monthly	y	1	0	good risk 
100489	36	48084	m	married  	0	2	monthly	y	2	1	good risk 
100411	34	47833	m	married  	1	1	monthly	y	1	0	bad loss  
100495	36	47734	m	married  	0	2	monthly	y	1	1	good risk 
100661	41	47568	f	married  	0	2	monthly	y	2	1	good risk 
100539	37	47470	f	married  	1	1	monthly	y	1	0	good risk 
100595	39	47161	m	married  	1	2	monthly	y	1	1	good risk 
100323	31	46955	m	married  	0	2	monthly	y	2	1	good risk 
100451	35	46949	f	married  	0	2	monthly	y	1	1	good risk 
100565	38	46823	m	married  	0	1	monthly	y	1	1	good risk 
100701	42	46501	f	married  	1	2	monthly	y	1	1	good risk 
100569	38	46168	f	married  	1	1	monthly	y	2	1	good risk 
100468	36	45970	m	married  	0	1	monthly	y	1	0	good risk 
100578	39	45750	f	married  	0	1	monthly	y	1	1	bad profit
100282	30	45715	m	married  	0	2	monthly	y	1	1	good risk 
100343	32	45687	m	married  	1	2	monthly	y	2	1	good risk 
100485	36	45673	m	married  	0	1	monthly	y	2	0	good risk 
100688	42	45654	m	married  	0	2	monthly	y	1	0	good risk 
100512	37	45621	m	married  	0	1	monthly	y	1	0	good risk 
100722	43	45390	f	married  	0	2	monthly	y	2	0	good risk 
100703	42	45368	f	married  	0	2	monthly	y	2	1	good risk 
100449	35	45238	f	married  	0	2	monthly	y	1	1	good risk 
100716	31	45217	m	married  	1	2	monthly	y	1	1	good risk 
100505	37	45153	f	married  	0	2	monthly	y	1	1	good risk 
100365	33	45115	f	married  	1	2	monthly	y	2	1	good risk 
100562	38	45103	f	married  	0	1	monthly	y	2	1	good risk 
100537	37	45081	f	married  	0	2	monthly	y	1	1	good risk 
100284	30	45049	m	married  	1	2	monthly	y	1	1	good risk 
100394	34	44997	f	married  	0	1	monthly	y	2	1	good risk 
100403	34	44831	m	married  	1	1	monthly	y	2	1	good risk 
100279	30	44756	f	married  	1	1	monthly	y	2	1	good risk 
100402	34	44684	f	married  	1	1	monthly	y	1	1	good risk 
100627	40	44671	f	married  	1	2	monthly	y	2	1	good risk 
100399	34	44617	f	married  	1	2	monthly	y	2	1	good risk 
100361	33	44613	m	married  	0	2	monthly	y	2	0	good risk 
100580	39	44477	f	married  	0	1	monthly	y	1	0	good risk 
100496	36	44449	m	married  	1	1	monthly	y	1	0	good risk 
100534	37	44413	m	married  	0	2	monthly	y	1	0	good risk 
100752	29	44395	m	married  	1	2	monthly	y	1	1	good risk 
100586	39	44378	f	married  	1	2	monthly	y	2	0	good risk 
100533	37	44363	m	married  	0	1	monthly	y	1	1	good risk 
100476	36	44318	m	married  	1	1	monthly	y	1	0	good risk 
100781	45	44294	m	married  	1	2	monthly	y	1	1	good risk 
100548	38	44272	f	married  	0	1	monthly	y	1	1	good risk 
100442	35	44271	f	married  	0	1	monthly	y	1	1	good risk 
100682	42	44270	f	married  	0	2	monthly	y	2	1	good risk 
100280	30	44202	m	married  	1	2	monthly	y	1	0	good risk 
100363	33	44193	f	married  	1	1	monthly	y	1	0	good risk 
100398	34	44187	f	married  	1	1	monthly	y	2	0	good risk 
100715	43	44150	m	married  	0	2	monthly	y	2	1	bad profit
100585	39	44010	f	married  	0	2	monthly	y	2	1	good risk 
100407	34	43989	m	married  	0	1	monthly	y	2	1	good risk 
100510	37	43976	f	married  	0	2	monthly	y	2	0	good risk 
100409	34	43957	f	married  	1	2	monthly	y	2	1	good risk 
100443	35	43874	m	married  	0	2	monthly	y	1	1	bad loss  
100785	45	43823	m	married  	1	2	monthly	y	2	1	bad loss  
100506	37	43820	m	married  	1	2	monthly	y	1	0	good risk 
100283	30	43800	m	married  	1	2	monthly	y	1	0	good risk 
100760	44	43794	f	married  	0	2	monthly	y	2	0	good risk 
100477	36	43761	f	married  	0	1	monthly	y	1	0	bad loss  
100642	41	43739	m	married  	1	1	monthly	y	2	1	bad loss  
100551	38	43707	f	married  	1	1	monthly	y	2	0	good risk 
100367	33	43645	m	married  	0	2	monthly	y	1	0	good risk 
100614	40	43622	f	married  	0	1	monthly	y	1	1	good risk 
100272	30	43593	m	married  	0	1	monthly	y	2	0	good risk 
100589	39	43362	f	married  	0	2	monthly	y	1	1	good risk 
100311	31	43330	m	married  	0	1	monthly	y	1	1	bad profit
100530	37	43303	m	married  	0	2	monthly	y	2	1	good risk 
100640	41	43293	f	married  	0	1	monthly	y	1	1	good risk 
100342	32	43202	m	married  	1	1	monthly	y	1	1	good risk 
100789	45	43151	f	married  	0	1	monthly	y	1	1	good risk 
100410	34	43100	f	married  	1	1	monthly	y	1	1	good risk 
100431	35	43098	f	married  	0	2	monthly	y	1	1	good risk 
100663	41	42996	m	married  	1	2	monthly	y	2	1	good risk 
100564	38	42996	f	married  	0	1	monthly	y	1	1	good risk 
100517	37	42884	m	married  	0	1	monthly	y	2	0	good risk 
100547	38	42874	m	married  	1	2	monthly	y	1	1	good risk 
100317	31	42852	m	married  	0	1	monthly	y	2	1	good risk 
100654	38	42772	f	married  	0	2	monthly	y	2	0	good risk 
100653	41	42737	m	married  	1	2	monthly	y	2	1	bad profit
100678	27	42663	f	married  	0	2	monthly	y	2	1	good risk 
100651	41	42658	f	married  	1	2	monthly	y	2	0	good risk 
100576	39	42574	f	married  	0	2	monthly	y	2	0	good risk 
100613	40	42544	f	married  	0	2	monthly	y	2	0	good risk 
100474	36	42422	m	married  	0	1	monthly	y	2	0	good risk 
100751	44	42412	m	married  	1	2	monthly	y	1	0	good risk 
100387	33	42313	m	married  	1	1	monthly	y	2	0	good risk 
100649	41	42241	f	married  	0	2	monthly	y	2	0	good risk 
100371	33	42234	m	married  	1	2	monthly	y	2	1	bad loss  
100647	41	42182	m	married  	1	2	monthly	y	2	1	good risk 
100276	30	42144	f	married  	1	2	monthly	y	2	1	good risk 
100714	43	42106	f	married  	0	1	monthly	y	2	0	good risk 
100525	37	42024	f	married  	1	2	monthly	y	2	0	good risk 
100291	30	41935	m	married  	0	2	monthly	y	2	0	good risk 
100340	32	41921	m	married  	0	1	monthly	y	2	0	good risk 
100656	41	41876	f	married  	1	2	monthly	y	2	0	bad profit
100643	41	41859	m	married  	1	2	monthly	y	1	1	good risk 
100557	38	41851	f	married  	0	1	monthly	y	1	1	good risk 
100433	35	41850	f	married  	1	2	monthly	y	2	1	good risk 
100464	36	41834	m	married  	0	1	monthly	y	2	0	good risk 
100455	35	41793	m	married  	0	2	monthly	y	1	0	good risk 
100305	31	41777	m	married  	1	1	monthly	y	1	1	good risk 
100475	36	41767	m	married  	0	2	monthly	y	1	0	good risk 
100393	34	41766	m	married  	0	1	monthly	y	1	1	bad profit
100438	35	41735	f	married  	0	1	monthly	y	1	0	good risk 
100483	36	41725	m	married  	0	2	monthly	y	2	1	good risk 
100397	34	41704	f	married  	0	2	monthly	y	1	1	good risk 
100274	30	41639	m	married  	1	2	monthly	y	1	0	good risk 
100309	31	41513	f	married  	1	2	monthly	y	1	1	good risk 
100380	33	41492	f	married  	0	1	monthly	y	2	1	bad profit
100366	33	41483	f	married  	1	2	monthly	y	1	0	good risk 
100513	37	41283	m	married  	0	2	monthly	y	2	1	good risk 
100277	30	41281	m	married  	0	1	monthly	y	1	1	good risk 
100275	30	41270	f	married  	1	1	monthly	y	1	1	good risk 
100404	34	41223	m	married  	0	2	monthly	y	2	1	good risk 
100637	41	41178	f	married  	1	1	monthly	y	2	1	good risk 
100783	45	41091	m	married  	0	2	monthly	y	2	1	good risk 
100478	36	41086	m	married  	1	1	monthly	y	1	1	good risk 
100314	31	41083	f	married  	0	2	monthly	y	1	1	good risk 
100287	30	41068	m	married  	1	1	monthly	y	2	1	good risk 
100652	41	40983	f	married  	1	1	monthly	y	1	0	bad loss  
100514	37	40949	f	married  	1	2	monthly	y	2	0	good risk 
100370	33	40918	f	married  	1	1	monthly	y	1	0	good risk 
100544	38	40904	m	married  	0	2	monthly	y	2	1	good risk 
100504	37	40875	m	married  	0	1	monthly	y	2	0	good risk 
100611	40	40855	f	married  	0	1	monthly	y	2	1	good risk 
100336	32	40782	f	married  	0	2	monthly	y	2	0	good risk 
100717	43	40728	m	married  	1	1	monthly	y	1	1	bad profit
100667	30	40658	f	married  	0	1	monthly	y	2	0	good risk 
100307	31	40653	f	married  	0	2	monthly	y	1	0	good risk 
100687	36	40645	f	married  	1	2	monthly	y	2	0	bad loss  
100619	40	40645	f	married  	1	2	monthly	y	1	0	good risk 
100689	27	40626	m	married  	1	2	monthly	y	1	0	good risk 
100555	38	40605	f	married  	1	2	monthly	y	1	0	good risk 
100312	31	40592	f	married  	1	1	monthly	y	1	0	good risk 
100296	30	40583	m	married  	1	2	monthly	y	2	1	bad profit
100351	32	40526	m	married  	1	1	monthly	y	1	1	good risk 
100726	43	40460	f	married  	1	2	monthly	y	2	1	good risk 
100515	37	40446	m	married  	0	2	monthly	y	2	1	bad loss  
100713	30	40438	m	married  	1	2	monthly	y	1	1	good risk 
100545	38	40437	f	married  	1	1	monthly	y	1	1	good risk 
100401	34	40340	m	married  	0	2	monthly	y	1	1	good risk 
100583	39	40335	m	married  	1	2	monthly	y	2	0	good risk 
100297	30	40263	m	married  	0	2	monthly	y	2	1	good risk 
100469	36	40204	f	married  	0	2	monthly	y	1	1	good risk 
100335	32	40187	f	married  	1	2	monthly	y	2	1	good risk 
100528	37	40179	f	married  	0	1	monthly	y	1	0	good risk 
